frame,id,x,y,image_index,angle,agent
0,0,403,222,0,-21,0
0,1,389,564,0,-149,0
0,2,140,201,0,-255,0
0,3,71,260,0,37,0
0,4,435,102,0,-255,0
0,5,367,222,0,-22,0
0,6,296,739,0,-269,0
0,7,445,424,0,53,0
0,8,319,403,0,9,0
0,9,674,684,0,-49,0
0,10,732,739,0,69,0
0,11,29,299,0,-266,0
0,12,740,319,0,-40,0
0,13,529,25,0,73,0
0,14,51,658,0,-244,0
0,15,72,444,0,69,0
0,16,66,137,0,31,0
0,17,338,257,0,-179,0
0,18,177,429,0,-108,0
0,19,706,737,0,71,0
0,20,325,157,0,-48,1
0,21,55,571,0,-10,1
0,22,689,696,0,-22,1
0,23,108,683,0,79,1
0,24,534,679,0,-103,1
0,25,639,8,0,-44,1
0,26,514,529,0,-30,1
0,27,70,346,0,-125,1
0,28,170,172,0,-36,1
0,29,22,633,0,52,1
0,30,265,545,0,-237,1
0,31,284,407,0,34,1
0,32,359,124,0,-192,1
0,33,654,473,0,-15,1
0,34,402,225,0,-19,1
0,35,178,143,0,-16,1
0,36,126,441,0,-61,1
0,37,642,134,0,-137,1
0,38,565,591,0,89,1
0,39,56,466,0,-74,1
0,40,579,439,0,-118,1
0,41,606,57,0,-142,1
0,42,147,715,0,77,1
0,43,85,664,0,-38,1
0,44,388,498,0,-14,1
0,45,78,368,0,-82,1
0,46,79,99,0,-55,1
0,47,69,284,0,-96,1
0,48,492,580,0,-23,1
0,49,245,733,0,-267,1
0,50,678,490,0,64,1
0,51,258,575,0,-268,1
0,52,177,491,0,-248,1
0,53,471,696,0,-129,1
0,54,387,390,0,-143,1
0,55,314,578,0,-181,1
0,56,265,662,0,-244,1
0,57,681,675,0,-198,1
0,58,590,505,0,-253,1
0,59,563,351,0,48,1
0,60,38,605,0,-59,1
0,61,517,538,0,-172,1
0,62,740,585,0,-224,1
0,63,163,136,0,-245,1
0,64,64,41,0,-26,1
1,0,404,219,0,-21,0
1,1,390,566,0,-149,0
1,2,138,202,0,-241,0
1,3,69,258,0,37,0
1,4,432,102,0,-255,0
1,5,368,219,0,-22,0
1,6,293,739,0,-269,0
1,7,443,422,0,53,0
1,8,318,400,0,9,0
1,9,676,682,0,-49,0
1,10,729,738,0,69,0
1,11,26,300,0,-266,0
1,12,742,317,0,-40,0
1,13,526,24,0,73,0
1,14,48,660,0,-244,0
1,15,69,443,0,69,0
1,16,64,134,0,31,0
1,17,338,260,0,-179,0
1,18,180,429,0,-87,0
1,19,703,736,0,71,0
1,20,327,155,0,-48,1
1,21,55,568,0,-10,1
1,22,690,694,0,-22,1
1,23,105,682,0,79,1
1,24,537,680,0,-103,1
1,25,641,5,0,-44,1
1,26,515,526,0,-30,1
1,27,72,348,0,-132,1
1,28,172,169,0,-36,1
1,29,20,631,0,52,1
1,30,262,547,0,-237,1
1,31,283,404,0,34,1
1,32,358,127,0,-206,1
1,33,656,471,0,-43,1
1,34,402,222,0,7,1
1,35,179,140,0,-16,1
1,36,128,440,0,-61,1
1,37,644,136,0,-137,1
1,38,562,591,0,89,1
1,39,59,465,0,-74,1
1,40,582,440,0,-118,1
1,41,607,59,0,-142,1
1,42,145,714,0,77,1
1,43,87,662,0,-38,1
1,44,389,495,0,-14,1
1,45,81,368,0,-82,1
1,46,82,97,0,-55,1
1,47,71,284,0,-96,1
1,48,493,578,0,-23,1
1,49,242,733,0,-267,1
1,50,675,488,0,64,1
1,51,256,576,0,-239,1
1,52,174,492,0,-248,1
1,53,474,698,0,-129,1
1,54,389,392,0,-143,1
1,55,314,581,0,-181,1
1,56,262,664,0,-244,1
1,57,680,678,0,-198,1
1,58,587,506,0,-253,1
1,59,560,349,0,48,1
1,60,41,604,0,-82,1
1,61,517,541,0,-172,1
1,62,738,586,0,-252,1
1,63,161,137,0,-245,1
1,64,65,39,0,-26,1
2,0,405,217,0,-27,0
2,1,392,569,0,-149,0
2,2,135,204,0,-241,0
2,3,67,255,0,37,0
2,4,429,103,0,-255,0
2,5,370,217,0,-35,0
2,6,290,739,0,-269,0
2,7,440,420,0,53,0
2,8,318,397,0,9,0
2,9,678,680,0,-49,0
2,10,726,737,0,69,0
2,11,23,300,0,-266,0
2,12,744,314,0,-40,0
2,13,523,23,0,73,0
2,14,45,661,0,-241,0
2,15,66,442,0,69,0
2,16,63,132,0,31,0
2,17,338,263,0,-179,0
2,18,183,429,0,-87,0
2,19,700,735,0,71,0
2,20,329,153,0,-48,1
2,21,56,565,0,-12,1
2,22,692,691,0,-42,1
2,23,102,682,0,79,1
2,24,540,680,0,-90,1
2,25,643,3,0,-44,1
2,26,517,523,0,-30,1
2,27,75,350,0,-132,1
2,28,174,167,0,-36,1
2,29,17,629,0,52,1
2,30,260,549,0,-237,1
2,31,281,402,0,34,1
2,32,358,130,0,-179,1
2,33,658,469,0,-43,1
2,34,402,219,0,7,1
2,35,180,137,0,-16,1
2,36,131,439,0,-61,1
2,37,646,138,0,-135,1
2,38,559,590,0,89,1
2,39,62,464,0,-74,1
2,40,585,442,0,-118,1
2,41,609,61,0,-142,1
2,42,142,714,0,77,1
2,43,88,659,0,-38,1
2,44,388,493,0,13,1
2,45,84,367,0,-82,1
2,46,84,95,0,-55,1
2,47,74,285,0,-96,1
2,48,494,575,0,-23,1
2,49,239,733,0,85,1
2,50,673,486,0,49,1
2,51,253,578,0,-239,1
2,52,171,494,0,-248,1
2,53,476,700,0,-129,1
2,54,390,395,0,-143,1
2,55,314,584,0,-181,1
2,56,259,665,0,-244,1
2,58,584,507,0,-253,1
2,59,558,347,0,48,1
2,60,44,604,0,-82,1
2,61,517,544,0,-172,1
2,62,735,587,0,-252,1
2,63,158,138,0,-245,1
2,64,65,36,0,3,1
3,0,406,214,0,-27,0
3,1,393,572,0,-149,0
3,2,132,205,0,-241,0
3,3,65,253,0,37,0
3,4,426,104,0,-255,0
3,5,371,214,0,-23,0
3,6,287,739,0,-269,0
3,7,438,418,0,53,0
3,8,317,394,0,9,0
3,9,681,678,0,-49,0
3,10,724,736,0,69,0
3,11,20,300,0,-266,0
3,12,745,312,0,-23,0
3,13,520,23,0,73,0
3,14,43,663,0,-241,0
3,15,63,441,0,69,0
3,16,61,129,0,31,0
3,17,338,266,0,-179,0
3,18,186,429,0,-87,0
3,19,698,733,0,45,0
3,20,332,151,0,-48,1
3,21,56,562,0,-12,1
3,22,694,689,0,-49,1
3,23,99,681,0,79,1
3,24,543,680,0,-92,1
3,25,645,1,0,-43,1
3,26,518,521,0,-34,1
3,27,77,352,0,-132,1
3,28,175,165,0,-38,1
3,29,15,628,0,52,1
3,30,257,550,0,-237,1
3,31,281,399,0,7,1
3,32,358,133,0,-179,1
3,33,660,466,0,-43,1
3,34,402,216,0,-2,1
3,35,180,134,0,-16,1
3,36,134,437,0,-61,1
3,37,648,141,0,-135,1
3,38,556,590,0,89,1
3,39,65,463,0,-74,1
3,40,586,444,0,-146,1
3,41,611,64,0,-142,1
3,42,139,713,0,77,1
3,43,90,657,0,-38,1
3,44,387,490,0,13,1
3,45,86,368,0,-110,1
3,46,86,93,0,-38,1
3,47,77,285,0,-96,1
3,48,495,572,0,-23,1
3,49,236,733,0,85,1
3,50,671,484,0,47,1
3,51,252,580,0,-210,1
3,52,169,495,0,-248,1
3,53,478,702,0,-129,1
3,54,392,397,0,-143,1
3,55,314,587,0,-181,1
3,56,258,668,0,-214,1
3,58,581,508,0,-253,1
3,59,556,346,0,59,1
3,60,47,603,0,-82,1
3,61,518,546,0,-171,1
3,62,732,588,0,-244,1
3,63,155,140,0,-245,1
3,64,65,33,0,3,1
4,0,408,211,0,-27,0
4,1,395,574,0,-149,0
4,2,130,207,0,-241,0
4,3,64,251,0,37,0
4,4,423,104,0,-266,0
4,5,373,212,0,-39,0
4,6,284,739,0,-269,0
4,7,435,416,0,53,0
4,8,317,391,0,14,0
4,9,683,676,0,-49,0
4,10,721,735,0,69,0
4,11,17,302,0,-240,0
4,12,747,309,0,-43,0
4,13,517,22,0,73,0
4,14,40,664,0,-241,0
4,15,60,440,0,69,0
4,16,60,127,0,31,0
4,17,338,269,0,-179,0
4,18,189,428,0,-70,0
4,19,696,731,0,45,0
4,20,334,149,0,-48,1
4,21,57,559,0,-12,1
4,22,696,687,0,-49,1
4,23,96,681,0,79,1
4,24,546,680,0,-92,1
4,25,647,-1,0,-43,1
4,26,520,518,0,-34,1
4,27,80,353,0,-112,1
4,28,177,162,0,-38,1
4,29,13,626,0,52,1
4,30,255,552,0,-237,1
4,31,280,396,0,7,1
4,32,358,136,0,-179,1
4,33,662,464,0,-43,1
4,34,402,213,0,-2,1
4,35,181,131,0,-16,1
4,36,136,436,0,-61,1
4,37,650,143,0,-135,1
4,38,553,590,0,89,1
4,39,68,463,0,-74,1
4,40,588,447,0,-146,1
4,41,613,66,0,-142,1
4,42,136,712,0,77,1
4,43,93,655,0,-52,1
4,44,387,487,0,13,1
4,45,88,370,0,-140,1
4,46,88,91,0,-38,1
4,47,80,284,0,-73,1
4,48,496,569,0,-23,1
4,49,233,732,0,85,1
4,50,669,482,0,47,1
