frame,id,x,y,image_index,angle,agent
0,0,493,475,0,44,0
0,1,672,713,0,-127,0
0,2,627,422,0,-176,0
0,3,585,295,0,-239,0
0,4,709,253,0,-188,0
0,5,634,116,0,-73,0
0,6,243,74,0,-238,0
0,7,79,330,0,59,0
0,8,359,54,0,-75,0
0,9,137,436,0,-192,0
0,10,349,444,0,71,0
0,11,557,28,0,86,0
0,12,349,550,0,70,0
0,13,573,55,0,-130,0
0,14,640,113,0,38,0
0,15,191,383,0,-27,0
0,16,21,386,0,-109,0
0,17,103,213,0,-222,0
0,18,481,395,0,57,0
0,19,57,408,0,-67,0
0,20,658,302,0,32,1
0,21,570,419,0,-39,1
0,22,542,326,0,81,1
0,23,710,380,0,-189,1
0,24,589,547,0,-42,1
0,25,129,414,0,26,1
0,26,259,560,0,52,1
0,27,710,706,0,-108,1
0,28,184,132,0,-130,1
0,29,637,418,0,-238,1
0,30,79,472,0,-156,1
0,31,104,170,0,-149,1
0,32,690,533,0,-250,1
0,33,482,32,0,-168,1
0,34,685,694,0,-222,1
0,35,608,432,0,-65,1
0,36,640,85,0,-269,1
0,37,349,735,0,-123,1
0,38,58,516,0,-7,1
0,39,217,156,0,67,1
0,40,80,86,0,6,1
0,41,589,590,0,-22,1
0,42,373,426,0,-13,1
0,43,312,519,0,-188,1
0,44,717,482,0,-240,1
0,45,125,462,0,-102,1
0,46,465,364,0,-225,1
0,47,692,698,0,-133,1
0,48,484,18,0,-253,1
0,49,40,719,0,-156,1
0,50,489,211,0,-175,1
0,51,250,191,0,-5,1
0,52,656,136,0,52,1
0,53,360,266,0,-153,1
0,54,154,624,0,68,1
0,55,505,666,0,71,1
0,56,682,640,0,-250,1
0,57,573,594,0,-233,1
0,58,719,214,0,-2,1
0,59,438,236,0,59,1
0,60,676,560,0,-67,1
0,61,354,743,0,-135,1
0,62,131,114,0,-179,1
0,63,589,208,0,56,1
0,64,132,120,0,16,1
1,0,491,472,0,36,0
1,1,674,715,0,-127,0
1,2,627,425,0,-176,0
1,3,583,296,0,-239,0
1,4,709,256,0,-188,0
1,5,637,115,0,-73,0
1,6,241,76,0,-238,0
1,7,76,328,0,53,0
1,8,362,54,0,-75,0
1,9,136,439,0,-192,0
1,10,346,443,0,71,0
1,11,554,28,0,86,0
1,12,346,549,0,70,0
1,13,575,57,0,-130,0
1,14,638,111,0,38,0
1,15,192,380,0,-27,0
1,16,24,387,0,-109,0
1,17,101,214,0,-242,0
1,18,480,393,0,34,0
1,19,60,407,0,-67,0
1,20,656,300,0,32,1
1,21,572,417,0,-39,1
1,22,539,325,0,72,1
1,23,709,383,0,-189,1
1,24,591,545,0,-42,1
1,25,127,412,0,48,1
1,26,257,558,0,52,1
1,27,713,707,0,-108,1
1,28,186,133,0,-130,1
1,29,634,419,0,-238,1
1,30,81,474,0,-156,1
1,31,106,173,0,-149,1
1,32,687,534,0,-250,1
1,33,483,35,0,-168,1
1,34,683,696,0,-222,1
1,35,611,431,0,-65,1
1,36,637,86,0,-263,1
1,37,352,737,0,-123,1
1,38,59,513,0,-7,1
1,39,214,155,0,67,1
1,40,79,83,0,6,1
1,41,589,587,0,-1,1
1,42,373,423,0,-13,1
1,43,311,522,0,-188,1
1,44,715,483,0,-240,1
1,45,128,463,0,-102,1
1,46,463,367,0,-212,1
1,47,694,700,0,-133,1
1,48,481,19,0,-253,1
1,49,41,721,0,-156,1
1,50,489,214,0,-175,1
1,51,250,188,0,-5,1
1,52,654,134,0,68,1
1,53,361,268,0,-153,1
1,54,151,623,0,68,1
1,55,502,665,0,71,1
1,56,679,641,0,-250,1
1,57,570,595,0,-233,1
1,58,719,211,0,-2,1
1,59,435,234,0,59,1
1,60,678,559,0,-67,1
1,61,356,745,0,-135,1
1,62,131,117,0,-179,1
1,63,586,206,0,56,1
1,64,131,117,0,16,1
2,0,489,470,0,36,0
2,1,677,717,0,-127,0
2,2,627,428,0,-176,0
2,3,580,298,0,-239,0
2,4,708,259,0,-188,0
2,5,640,114,0,-73,0
2,6,238,77,0,-238,0
2,7,75,326,0,36,0
2,8,365,53,0,-75,0
2,9,136,442,0,-174,0
2,10,344,442,0,71,0
2,11,551,27,0,76,0
