frame,id,x,y,image_index,angle,agent
0,0,558,106,0,-4,0
0,1,617,242,0,-139,0
0,2,287,618,0,-109,0
0,3,45,244,0,-109,0
0,4,688,555,0,-50,0
0,5,135,434,0,-98,0
0,6,145,582,0,65,0
0,7,495,159,0,-156,0
0,8,664,336,0,72,0
0,9,159,533,0,4,0
0,10,112,426,0,-170,0
0,11,156,348,0,-254,0
0,12,161,250,0,-162,0
0,13,336,282,0,-199,0
0,14,304,267,0,-147,0
0,15,371,189,0,87,0
0,16,215,53,0,-137,0
0,17,585,257,0,74,0
0,18,724,121,0,-224,0
0,19,394,402,0,63,0
0,20,269,639,0,-110,1
0,21,716,41,0,68,1
0,22,466,686,0,-30,1
0,23,696,497,0,-52,1
0,24,147,558,0,-75,1
0,25,14,159,0,-229,1
0,26,173,529,0,-42,1
0,27,391,97,0,-259,1
0,28,474,32,0,73,1
0,29,505,141,0,-265,1
0,30,386,593,0,72,1
0,31,166,622,0,-142,1
0,32,744,136,0,-52,1
0,33,211,137,0,-103,1
0,34,261,97,0,-186,1
0,35,363,585,0,-201,1
0,36,194,7,0,24,1
0,37,201,259,0,-22,1
0,38,271,59,0,-219,1
0,39,640,161,0,18,1
0,40,217,470,0,-53,1
0,41,404,283,0,-160,1
0,42,378,119,0,-192,1
0,43,91,716,0,24,1
0,44,49,51,0,-178,1
0,45,99,633,0,-165,1
0,46,570,166,0,-44,1
0,47,282,362,0,11,1
0,48,52,683,0,-62,1
0,49,556,319,0,-138,1
0,50,174,561,0,-104,1
0,51,528,361,0,-215,1
0,52,385,562,0,-136,1
0,53,597,568,0,-56,1
0,54,513,191,0,6,1
0,55,562,48,0,-75,1
0,56,650,142,0,62,1
0,57,27,548,0,-113,1
0,58,26,700,0,-248,1
0,59,465,271,0,-250,1
0,60,80,218,0,-249,1
0,61,469,406,0,-103,1
0,62,83,383,0,74,1
0,63,669,69,0,-247,1
0,64,147,245,0,-122,1
1,0,559,100,0,-4,0
1,1,621,246,0,-139,0
1,2,292,620,0,-109,0
1,3,51,246,0,-109,0
1,4,693,551,0,-50,0
1,5,141,434,0,-88,0
1,6,139,579,0,65,0
1,7,498,165,0,-156,0
1,8,658,334,0,72,0
1,9,159,527,0,4,0
1,10,113,432,0,-170,0
1,11,150,350,0,-254,0
1,12,163,256,0,-162,0
1,13,334,288,0,-196,0
1,14,308,272,0,-147,0
1,15,365,189,0,87,0
1,16,219,57,0,-135,0
1,17,579,255,0,74,0
1,18,720,125,0,-224,0
1,19,389,399,0,60,0
1,20,275,641,0,-110,1
1,21,710,39,0,68,1
1,22,469,681,0,-30,1
1,23,701,493,0,-52,1
1,24,153,556,0,-75,1
1,25,9,163,0,-229,1
1,26,177,524,0,-42,1
1,27,385,98,0,-257,1
1,28,468,30,0,73,1
1,29,499,142,0,-265,1
1,30,380,591,0,74,1
1,31,170,627,0,-142,1
1,32,749,133,0,-52,1
1,33,217,136,0,-77,1
1,34,260,103,0,-186,1
1,35,361,590,0,-201,1
1,36,192,1,0,24,1
1,37,203,254,0,-17,1
1,38,267,64,0,-219,1
1,39,638,156,0,24,1
1,40,221,466,0,-53,1
1,41,407,289,0,-160,1
1,42,377,125,0,-192,1
1,43,88,711,0,24,1
1,44,49,57,0,-178,1
1,45,101,639,0,-165,1
1,46,572,160,0,-28,1
1,47,281,357,0,11,1
1,48,58,682,0,-79,1
1,49,560,323,0,-139,1
1,50,180,560,0,-79,1
1,51,525,366,0,-215,1
1,52,389,567,0,-136,1
1,53,603,567,0,-75,1
1,54,513,185,0,6,1
1,55,568,47,0,-75,1
1,56,644,140,0,62,1
1,57,32,551,0,-113,1
1,58,21,703,0,-248,1
1,59,460,273,0,-250,1
1,60,74,220,0,-249,1
1,61,475,407,0,-103,1
1,62,77,382,0,74,1
1,63,663,71,0,-247,1
1,64,152,248,0,-122,1
2,0,559,94,0,-4,0
2,1,625,251,0,-139,0
2,2,298,622,0,-109,0
2,3,57,248,0,-109,0
2,4,697,547,0,-50,0
2,5,147,434,0,-88,0
2,6,134,576,0,65,0
2,7,500,170,0,-156,0
2,8,652,335,0,-265,0
2,9,158,521,0,4,0
2,10,116,437,0,-151,0
2,11,145,351,0,-264,0
2,12,165,261,0,-156,0
2,13,332,294,0,-196,0
2,14,312,277,0,-136,0
2,15,360,191,0,-247,0
2,16,224,61,0,-135,0
2,17,573,253,0,74,0
2,18,716,130,0,-224,0
2,19,384,396,0,60,0
2,20,279,645,0,-133,1
2,21,705,37,0,68,1
2,22,472,676,0,-30,1
2,23,706,490,0,-52,1
2,24,157,552,0,-45,1
2,25,5,166,0,-229,1
2,26,179,519,0,-20,1
2,27,379,99,0,-257,1
2,28,462,28,0,73,1
2,29,493,142,0,-265,1
2,30,374,589,0,74,1
2,31,173,632,0,-142,1
2,32,754,129,0,-52,1
2,33,222,133,0,-58,1
2,34,260,109,0,-186,1
2,35,359,596,0,-200,1
2,36,189,-4,0,24,1
2,37,204,248,0,-16,1
2,38,263,69,0,-219,1
2,39,635,150,0,24,1
2,40,226,462,0,-53,1
2,41,408,295,0,-165,1
2,42,376,131,0,-192,1
2,43,86,705,0,24,1
2,44,49,63,0,-178,1
2,45,100,645,0,-192,1
2,46,575,155,0,-24,1
2,47,280,351,0,11,1
2,48,64,681,0,-79,1
2,49,565,327,0,-125,1
2,50,186,559,0,-79,1
2,51,522,371,0,-215,1
2,52,393,571,0,-136,1
2,53,609,565,0,-75,1
2,54,514,179,0,-13,1
2,55,573,45,0,-75,1
2,56,639,137,0,62,1
2,57,38,553,0,-113,1
2,58,15,705,0,-248,1
2,59,454,275,0,-250,1
2,60,69,222,0,-249,1
2,61,481,407,0,-89,1
2,62,71,380,0,74,1
2,63,657,72,0,-259,1
2,64,157,251,0,-122,1
3,0,560,88,0,-4,0
3,1,629,255,0,-139,0
3,2,304,624,0,-108,0
3,3,63,250,0,-109,0
3,4,703,545,0,-73,0
3,5,153,434,0,-88,0
3,6,128,574,0,65,0
3,7,502,176,0,-156,0
3,8,646,335,0,87,0
3,9,158,515,0,4,0
3,10,119,443,0,-151,0
3,11,139,351,0,-264,0
3,12,168,266,0,-156,0
3,13,331,299,0,-196,0
3,14,316,281,0,-136,0
3,15,354,193,0,-247,0
3,16,228,66,0,-135,0
3,17,568,252,0,74,0
3,18,711,134,0,-224,0
3,19,380,391,0,39,0
3,20,283,649,0,-133,1
3,21,699,34,0,68,1
3,22,475,671,0,-30,1
3,23,711,486,0,-52,1
3,24,161,548,0,-45,1
3,25,1,171,0,-222,1
3,26,181,513,0,-20,1
3,27,373,101,0,-257,1
3,28,457,27,0,73,1
3,29,487,143,0,-265,1
3,30,368,588,0,74,1
3,31,177,636,0,-139,1
3,32,5,125,0,-52,1
3,33,227,129,0,-58,1
3,34,259,115,0,-186,1
3,35,357,601,0,-200,1
3,36,187,744,0,24,1
3,37,206,242,0,-16,1
3,38,260,73,0,-219,1
3,39,633,145,0,24,1
3,40,232,461,0,-77,1
3,41,412,300,0,-143,1
3,42,374,137,0,-192,1
3,43,83,700,0,24,1
3,44,49,69,0,-178,1
3,45,99,651,0,-186,1
3,46,577,149,0,-24,1
3,47,277,346,0,32,1
3,48,70,680,0,-79,1
3,49,569,330,0,-125,1
3,50,192,559,0,-97,1
3,51,519,377,0,-203,1
3,52,398,575,0,-136,1
3,53,615,564,0,-75,1
3,54,515,173,0,-13,1
3,55,579,44,0,-75,1
3,56,634,134,0,62,1
3,57,43,556,0,-113,1
3,58,10,707,0,-248,1
3,59,448,277,0,-250,1
3,60,63,224,0,-249,1
3,61,487,407,0,-89,1
3,62,65,379,0,80,1
3,63,651,74,0,-259,1
4,0,560,82,0,-4,0
4,1,633,260,0,-139,0
4,2,309,625,0,-108,0
4,3,68,252,0,-114,0
4,4,708,542,0,-62,0
4,5,159,433,0,-87,0
4,6,123,571,0,65,0
4,7,505,181,0,-156,0
4,8,640,334,0,87,0
4,9,157,509,0,4,0
4,10,122,448,0,-151,0
4,11,133,352,0,-264,0
4,12,168,266,0,-156,0
4,13,329,305,0,-196,0
4,14,320,285,0,-136,0
4,15,349,196,0,-247,0
4,16,232,70,0,-135,0
4,17,562,253,0,-257,0
4,18,707,138,0,-224,0
4,19,376,387,0,39,0
4,20,288,653,0,-133,1
4,21,693,32,0,68,1
4,22,478,666,0,-30,1
4,23,716,483,0,-63,1
4,24,166,544,0,-45,1
4,25,-4,174,0,-235,1
4,26,183,508,0,-20,1
4,27,368,102,0,-259,1
4,28,451,24,0,70,1
4,29,481,143,0,-265,1
4,30,362,586,0,74,1
4,31,181,641,0,-139,1
4,32,9,121,0,-52,1
4,33,232,126,0,-58,1
4,34,258,121,0,-186,1
4,35,355,607,0,-200,1
4,36,184,739,0,24,1
4,37,208,236,0,-16,1
4,38,256,78,0,-219,1
4,39,630,140,0,24,1
4,40,238,460,0,-77,1
4,41,415,304,0,-143,1
4,42,373,143,0,-192,1
4,43,81,694,0,24,1
4,44,50,75,0,-178,1
4,45,99,657,0,-186,1
4,46,580,144,0,-24,1
4,47,274,341,0,32,1
4,48,76,679,0,-79,1
4,49,574,334,0,-125,1
4,50,198,560,0,-97,1
4,51,517,382,0,-203,1
4,52,402,580,0,-136,1
4,53,619,560,0,-53,1
4,54,517,167,0,-13,1
4,55,585,42,0,-75,1
4,56,628,131,0,62,1
4,57,49,558,0,-113,1
4,58,4,709,0,-248,1
4,59,443,279,0,-250,1
4,60,58,226,0,-249,1
4,61,493,407,0,-89,1
4,62,60,375,0,51,1
4,63,645,75,0,-259,1
5,0,560,76,0,-4,0
5,1,637,265,0,-139,0
5,2,315,627,0,-108,0
5,3,74,254,0,-114,0
5,4,714,541,0,-77,0
5,5,165,433,0,-87,0
5,6,117,571,0,88,0
5,7,507,187,0,-156,0
5,8,634,334,0,87,0
5,9,157,503,0,4,0
5,10,124,453,0,-151,0
5,11,127,355,0,-239,0
5,12,168,266,0,-156,0
5,13,327,311,0,-196,0
5,14,324,289,0,-136,0
5,15,343,199,0,-240,0
5,16,236,74,0,-135,0
5,17,556,254,0,-259,0
5,18,702,141,0,-239,0
5,19,372,382,0,39,0
5,20,292,658,0,-133,1
5,21,688,30,0,68,1
5,22,481,660,0,-30,1
5,23,721,480,0,-63,1
5,24,170,539,0,-45,1
5,25,745,178,0,-235,1
5,26,185,502,0,-20,1
5,27,362,102,0,-267,1
5,28,445,22,0,70,1
5,29,476,144,0,-265,1
