frame,pred_count,prey_count,total count
398,41,35,76
399,42,34,76
400,42,34,76
401,42,34,76
402,31,34,65
403,30,34,64
404,30,34,64
405,30,32,62
406,30,32,62
407,30,32,62
408,30,32,62
409,30,31,61
410,30,31,61
411,30,31,61
412,30,32,62
413,30,32,62
414,30,32,62
415,30,32,62
416,30,32,62
417,30,32,62
418,30,32,62
419,30,32,62
420,30,33,63
421,30,33,63
422,30,32,62
423,30,32,62
424,30,33,63
425,30,33,63
426,30,33,63
427,30,33,63
428,30,33,63
429,30,33,63
430,31,32,63
431,33,30,63
432,33,30,63
433,33,30,63
434,33,30,63
435,33,30,63
436,33,30,63
437,33,30,63
438,33,30,63
439,33,30,63
440,33,29,62
441,33,30,63
442,33,30,63
443,33,30,63
444,33,30,63
445,33,30,63
446,33,30,63
447,33,30,63
448,33,30,63
449,33,30,63
450,33,30,63
451,33,29,62
452,32,29,61
453,31,29,60
454,31,29,60
455,31,29,60
456,31,29,60
457,31,29,60
458,31,29,60
459,31,29,60
460,31,30,61
461,31,30,61
462,31,30,61
463,31,30,61
464,31,30,61
465,31,30,61
466,31,30,61
467,31,30,61
468,31,30,61
469,31,30,61
470,31,30,61
471,31,30,61
472,31,30,61
473,31,30,61
474,31,30,61
475,30,30,60
476,30,30,60
477,30,30,60
478,30,30,60
479,30,30,60
480,30,30,60
481,30,30,60
482,29,30,59
483,29,29,58
484,29,29,58
485,29,29,58
486,29,29,58
487,29,29,58
488,29,29,58
489,29,29,58
490,29,28,57
491,30,28,58
492,30,28,58
493,29,28,57
494,29,28,57
495,29,28,57
496,29,28,57
497,29,28,57
498,29,28,57
499,29,28,57
500,29,28,57
501,28,28,56
502,28,29,57
503,28,29,57
504,28,29,57
505,28,29,57
506,28,29,57
507,28,30,58
508,28,31,59
509,28,31,59
510,28,31,59
511,28,30,58
512,28,30,58
513,28,30,58
514,28,30,58
515,28,30,58
516,28,30,58
517,28,30,58
518,28,30,58
519,28,30,58
520,28,30,58
521,28,30,58
522,28,30,58
523,28,30,58
524,28,30,58
525,28,30,58
526,28,30,58
527,28,30,58
528,28,30,58
529,28,30,58
530,28,30,58
531,28,30,58
532,28,31,59
533,28,31,59
534,28,31,59
535,28,31,59
536,28,31,59
537,28,31,59
538,28,31,59
539,28,31,59
540,28,31,59
541,28,31,59
542,28,31,59
543,29,30,59
544,29,30,59
545,29,30,59
546,29,30,59
547,29,30,59
548,29,30,59
549,29,30,59
550,29,30,59
551,29,31,60
552,29,31,60
553,29,31,60
554,29,31,60
555,30,31,61
556,30,31,61
557,30,32,62
558,30,32,62
559,30,31,61
560,30,31,61
561,30,32,62
562,30,32,62
563,30,32,62
564,30,32,62
565,30,32,62
566,30,33,63
567,30,33,63
568,30,33,63
569,30,33,63
570,30,33,63
571,30,33,63
572,30,33,63
573,30,33,63
574,30,34,64
575,30,34,64
576,30,34,64
577,30,34,64
578,30,34,64
579,30,34,64
580,30,34,64
581,30,34,64
582,30,34,64
583,30,34,64
584,30,34,64
585,30,34,64
586,30,34,64
587,30,34,64
588,30,34,64
589,30,34,64
590,30,34,64
591,29,35,64
592,29,35,64
593,29,35,64
594,29,35,64
595,29,35,64
596,29,34,63
597,29,34,63
598,29,34,63
599,30,33,63
600,30,33,63
601,30,33,63
602,30,33,63
603,30,33,63
604,30,33,63
605,29,33,62
606,29,32,61
607,29,32,61
608,29,32,61
609,29,32,61
610,29,32,61
611,29,32,61
612,29,31,60
613,29,32,61
614,30,31,61
615,29,32,61
616,29,32,61
617,29,32,61
618,29,32,61
619,29,29,58
620,30,28,58
621,30,28,58
622,30,28,58
623,30,28,58
624,31,27,58
625,31,29,60
626,31,29,60
627,31,29,60
628,31,29,60
629,31,29,60
630,31,29,60
631,31,29,60
632,31,29,60
633,31,30,61
634,31,30,61
635,31,30,61
636,31,30,61
637,31,30,61
638,31,30,61
639,31,30,61
640,31,30,61
641,31,30,61
642,31,30,61
643,30,30,60
644,30,30,60
645,29,30,59
646,29,30,59
647,29,30,59
648,29,30,59
649,29,30,59
650,29,30,59
651,29,30,59
652,29,30,59
653,29,30,59
654,29,30,59
655,29,30,59
656,29,31,60
657,29,31,60
658,29,31,60
659,29,31,60
660,29,31,60
661,29,31,60
662,28,31,59
663,28,31,59
664,28,31,59
665,28,31,59
666,27,31,58
667,27,31,58
668,27,31,58
669,27,31,58
670,27,31,58
671,27,31,58
672,27,31,58
673,27,31,58
674,28,30,58
675,28,30,58
676,28,30,58
677,28,30,58
678,26,30,56
679,26,31,57
680,26,31,57
681,26,31,57
682,26,32,58
683,27,31,58
684,27,31,58
685,27,31,58
686,27,31,58
687,28,30,58
688,28,30,58
689,28,30,58
690,28,29,57
691,28,29,57
692,28,29,57
693,28,28,56
694,28,28,56
695,28,28,56
696,28,28,56
697,28,28,56
698,28,27,55
699,28,27,55
700,28,27,55
701,27,27,54
702,21,27,48
703,21,27,48
704,22,28,50
705,22,28,50
706,22,29,51
707,22,29,51
708,22,29,51
709,21,29,50
710,21,29,50
711,21,29,50
712,21,29,50
713,21,29,50
714,21,29,50
715,21,29,50
716,21,29,50
717,21,29,50
718,21,29,50
719,21,29,50
720,21,29,50
721,21,29,50
722,21,29,50
723,21,29,50
724,21,29,50
725,21,29,50
726,21,29,50
727,21,29,50
728,21,29,50
729,21,30,51
730,21,30,51
731,21,30,51
732,21,30,51
733,21,29,50
734,21,29,50
735,21,29,50
736,21,29,50
737,21,29,50
738,21,29,50
739,21,29,50
740,21,29,50
741,21,29,50
742,21,29,50
743,21,29,50
744,21,29,50
745,21,30,51
746,21,30,51
747,21,30,51
748,21,30,51
749,21,30,51
750,21,30,51
751,21,30,51
752,21,30,51
753,20,30,50
754,20,30,50
755,20,30,50
756,21,29,50
757,21,29,50
758,21,28,49
759,21,28,49
760,21,29,50
761,21,29,50
762,21,29,50
763,21,29,50
764,21,29,50
765,21,29,50
766,21,29,50
767,21,29,50
768,21,29,50
769,21,29,50
770,21,29,50
771,20,28,48
772,20,28,48
773,20,28,48
774,20,28,48
775,20,28,48
776,19,28,47
777,19,28,47
778,19,28,47
779,19,28,47
780,19,28,47
781,19,28,47
782,19,28,47
783,19,28,47
784,19,29,48
785,19,29,48
786,19,30,49
787,19,30,49
788,19,30,49
789,19,30,49
790,19,30,49
791,19,30,49
792,19,30,49
793,19,30,49
794,19,30,49
795,19,30,49
796,19,30,49
797,19,30,49
798,19,30,49
799,18,30,48
800,18,30,48
801,18,30,48
802,18,30,48
803,18,30,48
804,18,30,48
805,18,30,48
806,18,30,48
807,18,30,48
808,18,31,49
809,18,31,49
810,18,31,49
811,18,31,49
812,18,31,49
813,18,31,49
814,18,31,49
815,18,31,49
816,18,31,49
817,18,31,49
818,18,31,49
819,18,31,49
820,18,31,49
821,18,31,49
822,18,31,49
823,18,30,48
824,18,30,48
825,18,30,48
826,18,30,48
827,18,30,48
828,18,30,48
829,18,30,48
830,18,30,48
831,18,30,48
832,18,31,49
833,17,31,48
834,17,31,48
835,17,31,48
836,17,31,48
837,17,31,48
838,17,31,48
839,17,31,48
840,17,31,48
841,17,31,48
842,17,32,49
843,17,33,50
844,17,33,50
845,17,33,50
846,17,33,50
847,17,33,50
848,17,33,50
849,17,32,49
850,17,32,49
851,17,32,49
852,17,32,49
853,17,31,48
854,17,31,48
855,17,31,48
856,17,31,48
857,17,31,48
858,17,31,48
859,17,31,48
860,17,31,48
861,17,31,48
862,17,31,48
863,17,31,48
864,17,31,48
865,17,31,48
866,17,31,48
867,17,31,48
868,17,30,47
869,17,30,47
870,17,30,47
871,17,30,47
872,17,30,47
873,18,29,47
874,18,29,47
875,18,29,47
876,18,29,47
877,18,29,47
878,18,29,47
879,18,29,47
880,18,29,47
881,18,29,47
882,18,29,47
883,18,29,47
884,18,29,47
885,18,29,47
886,18,29,47
887,18,29,47
888,18,29,47
889,18,29,47
890,18,29,47
891,18,28,46
892,18,28,46
893,18,28,46
894,18,28,46
895,18,28,46
896,18,28,46
897,18,28,46
898,18,28,46
899,18,28,46
900,18,27,45
901,18,27,45
902,18,27,45
903,18,27,45
904,18,27,45
905,18,27,45
906,18,27,45
907,18,27,45
908,18,27,45
909,18,27,45
910,18,28,46
911,18,28,46
912,18,28,46
913,18,28,46
914,18,29,47
915,18,29,47
916,18,29,47
917,18,29,47
918,18,29,47
919,18,29,47
920,18,29,47
921,18,29,47
922,18,29,47
923,18,29,47
924,18,30,48
925,18,30,48
926,18,30,48
927,18,30,48
928,18,30,48
929,18,30,48
930,18,30,48
931,18,30,48
932,18,29,47
933,18,29,47
934,18,29,47
935,18,29,47
936,18,29,47
937,19,28,47
938,19,28,47
939,20,28,48
940,21,27,48
941,21,26,47
942,21,26,47
943,21,26,47
944,21,26,47
945,21,27,48
946,21,27,48
947,21,27,48
948,21,27,48
949,21,27,48
950,21,27,48
951,21,27,48
952,21,27,48
953,21,27,48
954,21,27,48
955,21,27,48
956,21,27,48
957,20,27,47
958,20,27,47
959,20,27,47
960,20,27,47
961,20,26,46
962,20,26,46
963,20,26,46
964,20,26,46
965,20,26,46
966,20,26,46
967,21,25,46
968,21,25,46
969,21,25,46
970,21,25,46
971,21,25,46
972,21,25,46
