frame,id,x,y,image_index,angle,site,site_id
4,1,371,351,0,-182,false,
4,2,584,59,0,35,false,
4,3,640,327,0,-100,false,
4,4,542,158,0,-4,false,
4,5,689,18,0,-70,false,
4,6,419,707,0,-99,false,
4,7,153,326,0,-227,false,
4,8,180,331,0,-100,false,
4,9,159,174,0,-268,true,1
4,10,347,231,0,-169,false,
4,11,642,419,0,-98,false,
4,12,131,734,0,39,false,
4,13,99,239,0,-40,false,
4,14,531,689,0,10,false,
4,15,611,509,0,-242,false,
4,16,436,675,0,-199,false,
4,17,387,431,0,-35,false,
4,18,195,601,0,-102,false,
4,19,118,419,0,-239,false,
4,20,502,268,0,17,false,
4,21,369,589,0,-248,false,
4,22,282,365,0,82,false,
4,23,46,530,0,-101,false,
4,24,458,294,0,-84,false,
4,25,383,748,0,-151,false,
4,26,406,632,0,-7,false,
4,27,387,728,0,-174,false,
4,28,332,196,0,62,false,
4,29,575,611,0,73,false,
4,30,568,596,0,-49,true,0
4,31,408,318,0,83,false,
4,32,665,432,0,-110,false,
4,33,383,377,0,-162,false,
4,34,251,414,0,-218,false,
4,35,450,334,0,46,false,
4,36,185,135,0,-100,false,
4,37,634,592,0,60,false,
4,38,616,179,0,-17,false,
4,39,512,51,0,-33,false,
4,40,24,568,0,-96,false,
4,41,82,482,0,-180,false,
4,42,45,131,0,-214,false,
4,43,113,202,0,80,false,
4,44,338,228,0,14,false,
4,45,4,292,0,-261,false,
4,46,129,88,0,-242,false,
4,47,393,149,0,-54,false,
4,48,602,7,0,52,false,
4,49,123,541,0,-96,false,
5,0,646,585,0,-138,false,
5,1,371,353,0,-182,false,
5,2,582,57,0,35,false,
5,3,643,327,0,-100,false,
5,4,542,155,0,-4,false,
5,5,691,17,0,-70,false,
5,6,422,707,0,-99,false,
5,7,151,328,0,-227,false,
5,8,182,331,0,-100,false,
5,9,156,174,0,-268,true,1
5,10,348,233,0,-169,false,
5,11,644,420,0,-98,false,
5,12,129,732,0,39,false,
5,13,101,237,0,-40,false,
5,14,531,686,0,10,false,
5,15,608,510,0,-242,false,
5,16,435,677,0,-199,false,
5,17,388,428,0,-35,false,
5,18,198,602,0,-102,false,
5,19,116,420,0,-239,false,
5,20,501,266,0,17,false,
5,21,366,590,0,-248,false,
5,22,279,365,0,82,false,
5,23,49,531,0,-101,false,
5,24,461,293,0,-84,false,
5,25,384,751,0,-151,false,
5,26,407,629,0,-7,false,
5,27,387,730,0,-174,false,
5,28,330,194,0,62,false,
5,29,572,611,0,73,false,
5,30,570,594,0,-49,true,0
5,31,405,318,0,83,false,
5,32,668,433,0,-110,false,
5,33,384,379,0,-162,false,
5,34,249,417,0,-218,false,
5,35,448,332,0,46,false,
5,36,188,136,0,-100,false,
5,37,632,591,0,60,false,
5,38,617,176,0,-17,false,
5,39,514,49,0,-33,false,
5,40,27,568,0,-96,false,
5,41,82,485,0,-180,false,
5,42,43,133,0,-214,false,
5,43,110,202,0,80,false,
5,44,337,226,0,14,false,
5,45,2,293,0,-261,false,
5,46,127,89,0,-242,false,
5,47,396,147,0,-54,false,
5,48,600,6,0,52,false,
5,49,126,541,0,-96,false,
6,0,648,587,0,-138,false,
6,1,371,356,0,-182,false,
6,2,581,55,0,35,false,
6,3,645,328,0,-100,false,
6,4,543,153,0,-4,false,
6,5,694,17,0,-70,false,
6,6,425,707,0,-99,false,
6,7,149,329,0,-227,false,
6,8,185,332,0,-100,false,
6,9,153,174,0,-268,true,1
6,10,348,236,0,-169,false,
6,11,647,420,0,-98,false,
6,12,128,730,0,39,false,
6,13,103,235,0,-40,false,
6,14,530,684,0,10,false,
6,15,606,512,0,-242,false,
6,16,434,680,0,-199,false,
6,17,390,426,0,-35,false,
6,18,201,602,0,-102,false,
6,19,114,421,0,-239,false,
6,20,500,263,0,17,false,
6,21,364,591,0,-248,false,
6,22,276,365,0,82,false,
6,23,51,531,0,-101,false,
6,24,464,293,0,-84,false,
6,25,386,2,0,-151,false,
6,26,407,626,0,-7,false,
6,27,387,733,0,-174,false,
6,28,328,193,0,62,false,
6,29,570,610,0,73,false,
6,30,572,593,0,-49,true,0
6,31,402,317,0,83,false,
6,32,670,434,0,-110,false,
6,33,384,382,0,-162,false,
6,34,248,419,0,-218,false,
6,35,446,330,0,46,false,
6,36,191,136,0,-100,false,
6,37,629,589,0,60,false,
6,38,618,173,0,-17,false,
6,39,515,47,0,-33,false,
6,40,30,569,0,-96,false,
6,41,82,488,0,-180,false,
6,42,42,135,0,-214,false,
6,43,107,201,0,80,false,
6,44,337,223,0,14,false,
6,45,-1,293,0,-261,false,
6,46,124,91,0,-242,false,
6,47,398,146,0,-54,false,
6,48,598,4,0,52,false,
6,49,129,541,0,-96,false,
7,0,650,589,0,-138,false,
7,1,371,359,0,-182,false,
7,2,579,53,0,35,false,
7,3,648,328,0,-100,false,
7,4,543,150,0,-4,false,
7,5,696,16,0,-70,false,
7,6,427,708,0,-99,false,
7,7,147,331,0,-227,false,
7,8,188,332,0,-100,false,
7,9,151,174,0,-268,true,1
7,10,349,239,0,-169,false,
7,11,650,420,0,-98,false,
7,12,126,728,0,39,false,
7,13,104,233,0,-40,false,
7,14,530,681,0,10,false,
7,15,603,513,0,-242,false,
7,16,434,682,0,-199,false,
7,17,391,424,0,-35,false,
7,18,203,603,0,-102,false,
7,19,111,423,0,-239,false,
7,20,500,260,0,17,false,
7,21,361,592,0,-248,false,
7,22,274,364,0,82,false,
7,23,54,532,0,-101,false,
7,24,466,293,0,-84,false,
7,25,387,5,0,-151,false,
7,26,407,624,0,-7,false,
7,27,388,736,0,-174,false,
7,28,325,192,0,62,false,
7,29,565,608,0,73,true,0
7,30,574,591,0,-49,true,0
7,31,400,317,0,83,false,
7,32,673,435,0,-110,false,
7,33,385,384,0,-162,false,
7,34,246,421,0,-218,false,
7,35,444,328,0,46,false,
7,36,193,137,0,-100,false,
7,37,627,588,0,60,false,
7,38,619,171,0,-17,false,
7,39,517,44,0,-33,false,
7,40,32,569,0,-96,false,
7,41,82,490,0,-180,false,
7,42,40,138,0,-214,false,
7,43,105,201,0,80,false,
7,44,336,221,0,14,false,
7,45,747,293,0,-261,false,
7,46,122,92,0,-242,false,
7,47,400,144,0,-54,false,
7,48,596,2,0,52,false,
7,49,131,542,0,-96,false,
8,0,652,591,0,-138,false,
8,1,371,361,0,-182,false,
8,2,577,51,0,35,false,
8,3,651,329,0,-100,false,
8,4,543,147,0,-4,false,
8,5,699,15,0,-70,false,
8,6,430,708,0,-99,false,
8,7,145,333,0,-227,false,
8,8,190,333,0,-100,false,
8,9,148,174,0,-268,true,1
8,10,349,241,0,-169,false,
8,11,652,421,0,-98,false,
8,12,124,725,0,39,false,
8,13,106,231,0,-40,false,
8,14,529,678,0,10,false,
8,15,601,514,0,-242,false,
8,16,433,685,0,-199,false,
8,17,393,422,0,-35,false,
8,18,206,603,0,-102,false,
8,19,109,424,0,-239,false,
8,20,499,258,0,17,false,
8,21,359,593,0,-248,false,
8,22,271,364,0,82,false,
8,23,56,532,0,-101,false,
8,24,469,293,0,-84,false,
8,25,388,7,0,-151,false,
8,26,408,621,0,-7,false,
8,27,388,738,0,-174,false,
8,28,323,191,0,62,false,
8,29,562,607,0,73,true,0
8,30,576,589,0,-49,true,0
8,31,397,317,0,83,false,
8,32,675,436,0,-110,false,
8,33,386,387,0,-162,false,
8,34,244,423,0,-218,false,
8,35,442,327,0,46,false,
8,36,196,137,0,-100,false,
8,37,625,587,0,60,false,
8,38,619,168,0,-17,false,
8,39,518,42,0,-33,false,
8,40,35,569,0,-96,false,
8,41,82,493,0,-180,false,
8,42,39,140,0,-214,false,
8,43,102,201,0,80,false,
8,44,335,218,0,14,false,
8,45,745,294,0,-261,false,
8,46,120,93,0,-242,false,
8,47,402,143,0,-54,false,
