frame,id,x,y,image_index,angle,agent
0,0,82,560,0,-5,0
0,1,667,414,0,-4,0
0,2,359,156,0,-13,0
0,3,726,602,0,35,0
0,4,559,133,0,-25,0
0,5,622,96,0,-251,0
0,6,663,97,0,11,0
0,7,668,218,0,57,0
0,8,28,264,0,53,0
0,9,260,404,0,-66,0
0,10,656,655,0,0,0
0,11,714,489,0,80,0
0,12,306,339,0,-139,0
0,13,506,728,0,-213,0
0,14,286,455,0,-13,0
0,15,112,229,0,-81,0
0,16,196,363,0,-174,0
0,17,240,398,0,66,0
0,18,610,711,0,-189,0
0,19,234,194,0,-86,0
0,20,155,668,0,-105,1
0,21,451,468,0,-168,1
0,22,417,127,0,-127,1
0,23,496,489,0,-141,1
0,24,128,537,0,66,1
0,25,615,323,0,26,1
0,26,700,259,0,-222,1
0,27,135,666,0,-49,1
0,28,585,441,0,78,1
0,29,635,514,0,-143,1
0,30,228,517,0,-68,1
0,31,447,368,0,-239,1
0,32,445,709,0,-98,1
0,33,393,296,0,-208,1
0,34,381,471,0,-157,1
0,35,27,223,0,-92,1
0,36,449,166,0,89,1
0,37,31,413,0,-58,1
0,38,734,84,0,33,1
0,39,36,193,0,-133,1
0,40,475,646,0,-70,1
0,41,236,19,0,-132,1
0,42,345,631,0,-266,1
0,43,112,640,0,-198,1
0,44,447,387,0,-157,1
0,45,32,539,0,-152,1
0,46,76,549,0,-9,1
0,47,688,648,0,7,1
0,48,676,532,0,-203,1
0,49,270,488,0,48,1
0,50,677,589,0,3,1
0,51,645,238,0,-3,1
0,52,192,421,0,74,1
0,53,109,146,0,-24,1
0,54,80,105,0,-116,1
0,55,649,-2,0,1,1
0,56,583,224,0,-189,1
0,57,72,339,0,-247,1
0,58,82,580,0,-17,1
0,59,410,210,0,-168,1
0,60,124,534,0,-219,1
0,61,394,354,0,80,1
0,62,12,411,0,-225,1
0,63,676,240,0,77,1
0,64,432,728,0,-204,1
1,0,82,555,0,-5,0
1,1,668,408,0,-4,0
1,2,361,151,0,-13,0
1,3,722,597,0,35,0
1,4,562,128,0,-25,0
1,5,616,98,0,-251,0
1,6,661,91,0,11,0
1,7,663,214,0,57,0
1,8,24,259,0,43,0
1,9,266,401,0,-66,0
1,10,656,649,0,0,0
1,11,708,487,0,80,0
1,12,310,344,0,-139,0
1,13,503,733,0,-213,0
1,14,288,450,0,-13,0
1,15,118,229,0,-81,0
1,16,199,369,0,-159,0
1,17,234,396,0,66,0
1,18,609,717,0,-189,0
1,19,240,193,0,-86,0
1,20,160,670,0,-105,1
1,21,450,474,0,-193,1
1,22,421,130,0,-127,1
1,23,500,494,0,-141,1
1,24,122,534,0,66,1
1,25,612,318,0,26,1
1,26,695,263,0,-235,1
1,27,140,663,0,-65,1
1,28,579,440,0,78,1
1,29,639,519,0,-143,1
1,30,233,515,0,-68,1
1,31,442,371,0,-239,1
1,32,451,709,0,-98,1
1,33,391,301,0,-208,1
1,34,383,477,0,-157,1
1,35,33,223,0,-88,1
1,36,443,166,0,89,1
1,37,36,409,0,-58,1
1,38,730,79,0,33,1
1,39,40,198,0,-142,1
1,40,481,644,0,-70,1
1,41,240,23,0,-132,1
1,42,339,630,0,83,1
1,43,110,646,0,-198,1
1,44,450,393,0,-157,1
1,45,34,545,0,-152,1
1,46,74,543,0,16,1
1,47,686,642,0,14,1
1,48,673,537,0,-203,1
1,49,265,484,0,48,1
1,50,675,584,0,18,1
1,51,646,232,0,-3,1
1,52,187,419,0,74,1
1,53,112,141,0,-24,1
1,54,86,106,0,-98,1
1,55,650,744,0,-10,1
1,56,582,230,0,-189,1
1,57,66,341,0,-247,1
1,58,84,575,0,-17,1
1,59,413,216,0,-153,1
1,60,120,538,0,-219,1
1,61,388,353,0,80,1
1,62,8,416,0,-225,1
1,63,670,239,0,84,1
1,64,429,733,0,-210,1
2,0,83,549,0,-5,0
2,1,668,402,0,-4,0
2,2,362,145,0,-13,0
2,3,721,591,0,10,0
2,4,564,122,0,-25,0
2,5,610,100,0,-251,0
2,6,660,85,0,11,0
2,7,659,210,0,45,0
2,8,20,255,0,43,0
2,9,271,399,0,-66,0
2,10,656,643,0,0,0
2,11,702,486,0,80,0
2,12,313,349,0,-147,0
2,13,500,738,0,-213,0
2,14,289,444,0,-13,0
2,15,124,228,0,-81,0
2,16,201,374,0,-159,0
2,17,229,393,0,66,0
2,18,608,723,0,-189,0
2,19,246,193,0,-86,0
2,20,166,671,0,-105,1
2,21,449,479,0,-193,1
2,22,426,134,0,-127,1
2,23,504,498,0,-141,1
2,24,117,532,0,66,1
2,25,610,312,0,26,1
2,26,689,263,0,-264,1
2,27,144,659,0,-46,1
2,28,574,439,0,78,1
2,29,643,524,0,-144,1
2,30,239,512,0,-68,1
2,31,437,374,0,-239,1
2,32,456,712,0,-120,1
2,33,388,307,0,-208,1
2,34,387,482,0,-149,1
2,35,39,223,0,-88,1
2,36,438,167,0,-258,1
2,37,41,406,0,-58,1
2,38,727,74,0,33,1
2,39,44,203,0,-142,1
2,40,486,642,0,-70,1
2,41,245,27,0,-132,1
2,42,333,629,0,83,1
2,43,108,652,0,-198,1
2,44,452,398,0,-157,1
2,45,39,548,0,-127,1
2,47,685,636,0,14,1
2,48,671,543,0,-203,1
2,49,261,480,0,48,1
2,50,674,578,0,18,1
2,51,646,226,0,-3,1
2,52,181,418,0,74,1
2,53,114,135,0,-24,1
2,54,92,107,0,-98,1
2,55,651,738,0,-10,1
2,56,581,236,0,-189,1
2,57,61,344,0,-247,1
2,58,86,569,0,-17,1
2,59,415,221,0,-163,1
2,60,117,543,0,-219,1
2,61,383,352,0,80,1
2,62,4,420,0,-225,1
2,63,664,239,0,84,1
2,64,426,738,0,-210,1
2,65,83,549,0,-5,0
3,0,83,543,0,-5,0
3,1,669,396,0,-4,0
3,2,364,139,0,-13,0
3,3,720,585,0,10,0
3,4,567,117,0,-25,0
3,5,605,102,0,-251,0
3,6,659,79,0,11,0
3,7,655,206,0,45,0
3,8,16,251,0,43,0
3,9,277,396,0,-66,0
3,10,656,637,0,0,0
3,11,696,485,0,80,0
3,12,316,354,0,-147,0
3,13,496,743,0,-213,0
3,14,291,438,0,-13,0
3,15,129,227,0,-81,0
3,16,203,380,0,-159,0
3,17,223,391,0,66,0
3,18,604,728,0,-213,0
3,19,252,192,0,-86,0
3,20,172,672,0,-102,1
